"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify checkout form validation for all possible cases.","330","Test checkout form validation: empty postal code","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verifies that the login form validation works as expected for different cases","483","Test login form validation for wrong password","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verify checkout form validation for all possible cases.","0","Test checkout form validation: long values","tests","2026-04-27","skipped","2026-04-27","TestCheckout","Checkout","",""
"Verify checkout form validation for all possible cases.","194","Test checkout form validation: valid form","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"In order to complete the checkout process, the user must provide valid information and proceed through the checkout steps. This test verifies that the checkout flow works as expected for a valid checkout form.","400","Test checkout happy path flow","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"When the user encounters an error message during the checkout process, they should be able to close the message and continue with the checkout flow. This test verifies that the error message can be closed and the checkout process can continue.","253","Test checkout form error message can be closed","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verifies that the login form validation works as expected for different cases","281","Test login form validation for wrong username","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verifies that the login form validation works as expected for different cases","443","Test login form validation for wrong password","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verifies that the user can see the inventory items on the page.","103","Test user can see inventory items","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verify checkout form validation for all possible cases.","340","Test checkout form validation: all fields empty","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verify checkout form validation for all possible cases.","357","Test checkout form validation: empty first name","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verifies that the inventory items desired count are loaded on the page.","315","Test inventory items load","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verifies that the inventory items can be sorted by name and price","279","Test inventory items sorting by PRICE_DESC","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verify checkout form validation for all possible cases.","366","Test checkout form validation: empty postal code","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verifies that the user can see the inventory items on the page.","274","Test user can see inventory items","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verifies that the login form validation works as expected for different cases","296","Test login form validation for empty password","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verifies that the inventory items can be sorted by name and price","125","Test inventory items sorting by PRICE_DESC","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verifies that the login form validation works as expected for different cases","443","Test login form validation for wrong username","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verifies that the inventory items have names","97","Test inventory items have names","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verifies that the inventory items desired count are loaded on the page.","217","Test inventory items load","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verifies that the inventory items can be sorted by name and price","286","Test inventory items sorting by PRICE_ASC","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verify checkout form validation for all possible cases.","0","Test checkout form validation: long values","tests","2026-04-27","skipped","2026-04-27","TestCheckout","Checkout","",""
"When the user encounters an error message during the checkout process, they should be able to close the message and continue with the checkout flow. This test verifies that the error message can be closed and the checkout process can continue.","400","Test checkout form error message can be closed","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verifies that the login form validation works as expected for different cases","485","Test login form validation for valid user","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verify checkout form validation for all possible cases.","1","Test checkout form validation: all fields spaces","tests","2026-04-27","skipped","2026-04-27","TestCheckout","Checkout","",""
"Verify checkout form validation for all possible cases.","1","Test checkout form validation: all fields spaces","tests","2026-04-27","skipped","2026-04-27","TestCheckout","Checkout","",""
"Verifies that the inventory items have prices","258","Test inventory items have prices","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verify checkout form validation for all possible cases.","189","Test checkout form validation: empty postal code","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verifies that the inventory items have prices","279","Test inventory items have prices","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verifies that the login form validation works as expected for different cases","319","Test login form validation for valid user","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verifies that the login form validation works as expected for different cases","283","Test login form validation for empty username","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verify checkout form validation for all possible cases.","351","Test checkout form validation: all fields empty","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verify checkout form validation for all possible cases.","203","Test checkout form validation: empty first name","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verifies that the inventory items can be sorted by name and price","301","Test inventory items sorting by NAME_DESC","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"When the user encounters an error message during the login process, they should be able to close the message and try again. This test verifies that the error message can be closed.","323","Test login form error message can be closed","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verifies that the login form validation works as expected for different cases","431","Test login form validation for empty username","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verify checkout form validation for all possible cases.","351","Test checkout form validation: valid form","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verifies that the inventory items can be sorted by name and price","129","Test inventory items sorting by NAME_ASC","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verify checkout form validation for all possible cases.","379","Test checkout form validation: empty last name","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verifies that a user can log in with valid credentials, add 'Sauce Labs Backpack' to the cart, navigate to the cart page, and verifies the item is present.","194","Test user can add item to cart","tests","2026-04-27","passed","2026-04-27","TestCart","Cart","",""
"Verifies that the login form validation works as expected for different cases","449","Test login form validation for empty password","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verifies that the login form validation works as expected for different cases","516","Test login form validation for locked user","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verify checkout form validation for all possible cases.","332","Test checkout form validation: empty first name","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verifies that a user can log in with valid credentials, add 'Sauce Labs Backpack' to the cart, navigate to the cart page, and verifies the item is present.","523","Test user can add item to cart","tests","2026-04-27","passed","2026-04-27","TestCart","Cart","",""
"Verifies that the login form validation works as expected for different cases","409","Test login form validation for locked user","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"In order to complete the checkout process, the user must provide valid information and proceed through the checkout steps. This test verifies that the checkout flow works as expected for a valid checkout form.","238","Test checkout happy path flow","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verifies that the inventory items desired count are loaded on the page.","97","Test inventory items load","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verify checkout form validation for all possible cases.","391","Test checkout form validation: valid form","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verifies that the inventory items can be sorted by name and price","135","Test inventory items sorting by NAME_DESC","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verifies that the login form validation works as expected for different cases","495","Test login form validation for empty username","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verifies that the inventory items have prices","100","Test inventory items have prices","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"When the user encounters an error message during the checkout process, they should be able to close the message and continue with the checkout flow. This test verifies that the error message can be closed and the checkout process can continue.","367","Test checkout form error message can be closed","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verify checkout form validation for all possible cases.","186","Test checkout form validation: empty last name","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"When the user encounters an error message during the login process, they should be able to close the message and try again. This test verifies that the error message can be closed.","506","Test login form error message can be closed","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verify checkout form validation for all possible cases.","352","Test checkout form validation: empty last name","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verify checkout form validation for all possible cases.","0","Test checkout form validation: all fields spaces","tests","2026-04-27","skipped","2026-04-27","TestCheckout","Checkout","",""
"Verifies that the inventory items can be sorted by name and price","284","Test inventory items sorting by NAME_ASC","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verifies that the user can see the inventory items on the page.","267","Test user can see inventory items","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verifies that the login form validation works as expected for different cases","434","Test login form validation for empty password","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verifies that the inventory items can be sorted by name and price","269","Test inventory items sorting by NAME_DESC","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verifies that the login form validation works as expected for different cases","292","Test login form validation for locked user","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verifies that the login form validation works as expected for different cases","489","Test login form validation for valid user","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"When the user encounters an error message during the login process, they should be able to close the message and try again. This test verifies that the error message can be closed.","522","Test login form error message can be closed","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verifies that the inventory items can be sorted by name and price","123","Test inventory items sorting by PRICE_ASC","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verifies that the login form validation works as expected for different cases","487","Test login form validation for wrong username","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verify checkout form validation for all possible cases.","1","Test checkout form validation: long values","tests","2026-04-27","skipped","2026-04-27","TestCheckout","Checkout","",""
"Verifies that the inventory items have names","201","Test inventory items have names","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verifies that the inventory items can be sorted by name and price","468","Test inventory items sorting by NAME_ASC","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"In order to complete the checkout process, the user must provide valid information and proceed through the checkout steps. This test verifies that the checkout flow works as expected for a valid checkout form.","423","Test checkout happy path flow","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verifies that the inventory items can be sorted by name and price","408","Test inventory items sorting by PRICE_ASC","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verifies that a user can log in with valid credentials, add 'Sauce Labs Backpack' to the cart, navigate to the cart page, and verifies the item is present.","105","Test user can add item to cart","tests","2026-04-27","passed","2026-04-27","TestCart","Cart","",""
"Verifies that the inventory items have names","261","Test inventory items have names","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verifies that the inventory items can be sorted by name and price","466","Test inventory items sorting by PRICE_DESC","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verify checkout form validation for all possible cases.","192","Test checkout form validation: all fields empty","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verifies that the login form validation works as expected for different cases","296","Test login form validation for wrong password","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
